[phase7] component::1015FASA-6K4-1-150::10UL-02793 | FORM1_MISSING raised | strategies:[none] | hits=0 | severity:2
[phase7.5] finding::FORM1_MISSING::200811218::6134 | strategy=sn_alone | hits=5 | closed CLOSED_FALSE_POSITIVE
[phase7.5] finding::FORM1_MISSING::200811218::17MDC02839 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::19039-1::17SPP00574 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::228-58111-801::18031 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::228-58111-801::6134 | strategy=sn_alone | hits=5 | closed CLOSED_FALSE_POSITIVE
[phase7.5] finding::FORM1_MISSING::228-58111-801::18025 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::228-58111-801::18017 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::19400-1::3885 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::3214442-4::6134 | strategy=sn_alone | hits=5 | closed CLOSED_FALSE_POSITIVE
[phase7.5] finding::FORM1_MISSING::3214442-4::4515 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::19084-103::6134 | strategy=sn_alone | hits=5 | closed CLOSED_FALSE_POSITIVE
[phase7.5] finding::FORM1_MISSING::19084-103::17SPP00519 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::600-14250-29::PR1286 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::19134-3::17EXC1846 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::19134-3::6134 | strategy=sn_alone | hits=5 | closed CLOSED_FALSE_POSITIVE
[phase7.5] finding::FORM1_MISSING::600-14250-29::PR1284 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::17027-9::6134 | strategy=sn_alone | hits=5 | closed CLOSED_FALSE_POSITIVE
[phase7.5] finding::FORM1_MISSING::17027-9::2821C | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::600-10057-6::6134 | strategy=sn_alone | hits=5 | closed CLOSED_FALSE_POSITIVE
[phase7.5] finding::FORM1_MISSING::600-10057-6::TRI00048 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::19400-1::3880 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::228-58111-801::18030 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::3214442-4::4517 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::601R92310-3::6134 | strategy=sn_alone | hits=5 | closed CLOSED_FALSE_POSITIVE
[phase7.5] finding::FORM1_MISSING::601R92310-3::1322 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::601R92310-3::1326 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::228-58111-801::18018 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::601R92386-3::SN1845 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::17014-8::6134 | strategy=sn_alone | hits=5 | closed CLOSED_FALSE_POSITIVE
[phase7.5] finding::FORM1_MISSING::17014-8::4987 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::19115-103::16SPP00502 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::19115-103::6134 | strategy=sn_alone | hits=5 | closed CLOSED_FALSE_POSITIVE
[phase7.5] finding::FORM1_MISSING::19064-106::16SPP00280 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::19064-106::6134 | strategy=sn_alone | hits=5 | closed CLOSED_FALSE_POSITIVE
[phase7.5] finding::FORM1_MISSING::19084-103::16SPP00517 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::19134-3::17EXC1849 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::600-10057-5::TRI00042 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::600-10057-5::6134 | strategy=sn_alone | hits=5 | closed CLOSED_FALSE_POSITIVE
[phase7.5] finding::FORM1_MISSING::897776-01::39196 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::228-58111-801::18029 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::200814213::S0000WJ M0 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::200814213::6134 | strategy=sn_alone | hits=5 | closed CLOSED_FALSE_POSITIVE
[phase7.5] finding::FORM1_MISSING::200811707::16MBM00949 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::200814601::6134 | strategy=sn_alone | hits=5 | closed CLOSED_FALSE_POSITIVE
[phase7.5] finding::FORM1_MISSING::200814601::17EXC0714 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::19115-103::16SPP00501 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::604-92305-7::6134 | strategy=sn_alone | hits=5 | closed CLOSED_FALSE_POSITIVE
[phase7.5] finding::FORM1_MISSING::604-92305-7::2239 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::600-14250-29::PR1272 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::228-58111-801::18026 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::19105-103::15SPP00450 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::200814601::17EXC0713 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::897776-01::39438 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::19038-3::17SPP00455 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::0856KV10::307715 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::0856KV10::6134 | strategy=sn_alone | hits=5 | closed CLOSED_FALSE_POSITIVE
[phase7.5] finding::FORM1_MISSING::897776-01::39188 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::200811601::16EXC2243 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::601R92309-3::1513 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::601R92309-3::6134 | strategy=sn_alone | hits=5 | closed CLOSED_FALSE_POSITIVE
[phase7.5] finding::FORM1_MISSING::601R92386-3::SN1827 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::228-58111-801::18019 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::600-14250-29::6134 | strategy=sn_alone | hits=5 | closed CLOSED_FALSE_POSITIVE
[phase7.5] finding::FORM1_MISSING::600-14250-29::PR1274 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::600-14250-29::PR1246 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::6350-3::6134 | strategy=sn_alone | hits=5 | closed CLOSED_FALSE_POSITIVE
[phase7.5] finding::FORM1_MISSING::6350-3::17SPP00647 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::200811602::16EXC0828 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::200811602::6134 | strategy=sn_alone | hits=5 | closed CLOSED_FALSE_POSITIVE
[phase7.5] finding::FORM1_MISSING::19050-3::6134 | strategy=sn_alone | hits=5 | closed CLOSED_FALSE_POSITIVE
[phase7.5] finding::FORM1_MISSING::19050-3::17SPP00511 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::601R92309-3::1521 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::200811601::16EXC2254 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::200811601::6134 | strategy=sn_alone | hits=5 | closed CLOSED_FALSE_POSITIVE
[phase7.5] finding::FORM1_MISSING::17014-8::4989 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::19050-3::17SPP00517 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::6350-3::17SPP00644 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::600-14250-29::PR1276 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::601R10237-3::0042 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::601R10237-3::6134 | strategy=sn_alone | hits=5 | closed CLOSED_FALSE_POSITIVE
[phase7.5] finding::FORM1_MISSING::17027-9::2840C | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::897776-01::39389 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::601R10237-3::0179 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::19064-105::17SPP00298 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::19064-105::6134 | strategy=sn_alone | hits=5 | closed CLOSED_FALSE_POSITIVE
[phase7.5] finding::FORM1_MISSING::200811721::6134 | strategy=sn_alone | hits=5 | closed CLOSED_FALSE_POSITIVE
[phase7.5] finding::FORM1_MISSING::200811721::16MER438718 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::453-5060::6134 | strategy=sn_alone | hits=5 | closed CLOSED_FALSE_POSITIVE
[phase7.5] finding::FORM1_MISSING::601R92386-3::39187 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::601R92386-3::2239 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::601R92386-3::17SPP00644 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::601R92386-3::17SPP00647 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::897776-01::2239 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::897776-01::SN1854 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::897776-01::17SPP00644 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::897776-01::17SPP00647 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::6350-3::39187 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::6350-3::2239 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::6350-3::SN1854 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::604-92305-7::39187 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::604-92305-7::SN1854 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::604-92305-7::17SPP00644 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::604-92305-7::17SPP00647 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::601R92386-3-01::39187 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::601R92386-3-01::2239 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::601R92386-3-01::SN1854 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::601R92386-3-01::17SPP00644 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::601R92386-3-01::6134 | strategy=sn_alone | hits=5 | closed CLOSED_FALSE_POSITIVE
[phase7.5] finding::FORM1_MISSING::601R92386-3-01::17SPP00647 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::8454-3::39187 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::8454-3::2239 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::8454-3::SN1854 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::8454-3::17SPP00644 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::8454-3::6134 | strategy=sn_alone | hits=5 | closed CLOSED_FALSE_POSITIVE
[phase7.5] finding::FORM1_MISSING::8454-3::17SPP00647 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::3272570-9::4517 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::3272570-9::TRI00042 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::3272570-9::4515 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::3272570-9::18031 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::3272570-9::6134 | strategy=sn_alone | hits=5 | closed CLOSED_FALSE_POSITIVE
[phase7.5] finding::FORM1_MISSING::3272570-9::TRI00048 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::600-10057-5::4517 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::600-10057-5::4515 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::600-10057-5::18031 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::600-10057-5::TRI00048 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::3214442-4::TRI00042 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::3214442-4::18031 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::3214442-4::TRI00048 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::600-10057-6::4517 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::600-10057-6::TRI00042 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::600-10057-6::4515 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::1015FASA-6K4-1-150::10UL-02793 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::3800804-2::801538 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::6089T11G01::801538 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::1015FASA-6K4-1-150::112718038 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::19146-3::15MER5504142 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::19146-3::17MER5752901 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::5012373::MAY18-4687 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::5012373::MAY18-4688 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::5012373::MAY18-4689 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::5012373::MAY18-4690 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::5012373::APR18-8705 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::5012373::DEC16-8591 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::5010598-1AB::APR18-8705 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::5010598-1AB::DEC16-8591 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::3800804-2::P- 535 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::30H673::E93264483 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::30H673::E-93776585 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::466090::E93264483 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::466090::E-93776585 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::600-59151-11::E-93776596 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::30H673::E-93776596 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::500097::112718038 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::63600-105::L4298533 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::63600-105::L4372422 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::63600-105::L4298529 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::63600-105::L4166992 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::63600-105::L4167000 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::63600-105::L4298530 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::63600-105::L4166996 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::63600-105::L4372388 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::63600-505::L4417259 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::63600-105::L4372389 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::63600-105::L4167023 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::63600-505::L4249830 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::63600-505::L4427130 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::20090-101::16MDC25248 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::20050-101::17ALT200347 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::897776-01::39187 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::19039-1::17SPP00575 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::19038-3::16SPP00447 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::200814624::17MER474711 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::601R92386-3::SN1841 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::601R92386-3::SN1854 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::0856KV9::307317 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::19105-103::16SPP00466 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::200811218::17MDC02839 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::19039-1::17SPP00574 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::228-58111-801::18031 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::228-58111-801::18025 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::228-58111-801::18017 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::19400-1::3885 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::3214442-4::4515 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::19084-103::17SPP00519 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::600-14250-29::PR1286 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::19134-3::17EXC1846 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::600-14250-29::PR1284 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::17027-9::2821C | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::600-10057-6::TRI00048 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::19400-1::3880 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::228-58111-801::18030 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::3214442-4::4517 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::601R92310-3::1322 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::601R92310-3::1326 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::228-58111-801::18018 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::601R92386-3::SN1845 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::17014-8::4987 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::19115-103::16SPP00502 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::19064-106::16SPP00280 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::19084-103::16SPP00517 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::19134-3::17EXC1849 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::600-10057-5::TRI00042 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::897776-01::39196 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::228-58111-801::18029 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::200814213::S0000WJ M0 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::200811707::16MBM00949 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::200814601::17EXC0714 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::19115-103::16SPP00501 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::604-92305-7::2239 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::600-14250-29::PR1272 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::228-58111-801::18026 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::19105-103::15SPP00450 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::200814601::17EXC0713 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::897776-01::39438 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::19038-3::17SPP00455 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::0856KV10::307715 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::897776-01::39188 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::200811601::16EXC2243 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::601R92309-3::1513 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::601R92386-3::SN1827 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::228-58111-801::18019 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::600-14250-29::PR1274 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::600-14250-29::PR1246 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::6350-3::17SPP00647 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::200811602::16EXC0828 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::19050-3::17SPP00511 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::601R92309-3::1521 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::200811601::16EXC2254 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::17014-8::4989 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::19050-3::17SPP00517 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::6350-3::17SPP00644 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::600-14250-29::PR1276 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::601R10237-3::0042 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::17027-9::2840C | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::897776-01::39389 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::601R10237-3::0179 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::19064-105::17SPP00298 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::200811721::16MER438718 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::601R92386-3::39187 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::601R92386-3::2239 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::601R92386-3::17SPP00644 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::601R92386-3::17SPP00647 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::897776-01::2239 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::897776-01::SN1854 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::897776-01::17SPP00644 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::897776-01::17SPP00647 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::6350-3::39187 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::6350-3::2239 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::6350-3::SN1854 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::604-92305-7::39187 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::604-92305-7::SN1854 | strategy=sn_alone | hits=0 | still OPEN
[phase7.5] finding::FORM1_MISSING::604-92305-7::17SPP00644 | strategy=sn_alone | hits=0 | still OPEN
